x,y
-3.2677948,1.170483
-4.150635,0.04279193
-1.1263379,-0.82049334
-0.49478245,1.4145594
-0.7609783,2.014591
-3.0294833,-0.3182756
-2.1910405,0.5133404
-2.450631,-1.1970503
-3.9845512,-0.13734464
-2.7204225,1.3164673
-2.5285754,1.6113461
-0.90327686,1.903579
-0.05314704,0.07692405
-3.2552567,2.1029472
-1.6888045,-0.19578479
-0.5451714,1.3615884
-2.5730667,2.3406627
-2.4400558,-0.4870837
-2.598681,1.174591
-3.1060507,1.6491777
-1.5918201,0.32866102
-1.3561573,-1.0038362
-3.2693834,-0.6660726
-2.6609087,-1.1722884
-2.7971468,-0.16298173
-2.4445844,-1.3435982
-1.7767906,-1.2282346
-2.4375417,-0.30513263
-3.090538,2.442605
-1.4265441,1.7247438
-3.0150177,0.7606384
-0.70037556,0.21034713
-1.40626,-0.15422156
-3.446103,-0.26584557
-3.6836643,1.3281336
-2.037704,0.09395999
-2.3960779,0.13975841
-1.8797431,-0.91343457
-1.5238696,0.83258146
-1.3620371,1.9784819
-1.7424328,-0.8999987
-1.444121,-0.6714881
-4.11248,0.6862795
-1.0444937,1.4808689
-2.2370937,1.0616854
-1.6479205,2.660379
-2.392058,0.6280972
-2.2298977,1.2595627
-3.6403883,1.0534968
-0.2104307,-0.46985006
-1.6298292,1.2873898
-2.2482905,-0.72148544
-1.6030103,1.1885253
-3.4615417,-0.53092307
-0.4926225,0.45865625
-0.15909828,-0.13046777
-4.142069,0.26720163
-2.7103698,-0.7968402
-2.4244978,1.8791884
-3.1519253,0.5388426
-1.1165576,1.1788168
-2.2127485,-0.33905953
-2.950188,1.1297894
-1.1470944,0.6891088
-1.5905781,2.4807467
-2.166714,1.5449984
-1.0605386,0.07949202
-3.6440654,0.3444561
-1.0834022,-0.5965474
-0.29876405,-0.2404264
-2.0518126,-1.4001256
-1.8636245,0.6802985
-0.54424614,-0.36077204
-1.2607218,1.009701
-1.6646749,0.51071554
-3.262413,0.16233775
-1.7869797,1.5150604
-2.755682,1.5246176
-3.8503304,0.7235911
-2.615693,0.41714162
-2.6042452,0.05584573
-2.575435,1.9797747
-1.8103727,-0.09601901
-3.125485,-0.86216986
-2.0760877,1.9256186
-1.474729,-0.69201833
-3.1994812,1.5129079
-2.8268313,0.8981353
-1.7219526,2.4696813
-2.1245933,0.27637175
-0.9183589,1.1320293
